species,petal_width,petal_length,sepal_width,sepal_length
setosa,2,14,33,50
setosa,2,10,36,46
setosa,2,16,31,48
setosa,1,14,36,49
setosa,2,13,32,44
setosa,2,16,38,51
setosa,2,16,30,50
setosa,4,19,38,51
setosa,2,14,30,49
setosa,2,14,36,50
setosa,4,15,34,54
setosa,2,14,42,55
setosa,2,14,29,44
setosa,1,14,30,48
setosa,3,17,38,57
setosa,4,15,37,51
setosa,2,13,35,55
setosa,2,13,30,44
setosa,2,16,32,47
setosa,2,12,32,50
setosa,1,11,30,43
setosa,2,14,35,51
setosa,4,16,34,50
setosa,1,15,41,52
setosa,2,15,31,49
setosa,4,17,39,54
setosa,2,13,32,47
setosa,2,15,34,51
setosa,1,15,31,49
setosa,2,15,37,54
setosa,4,13,39,54
setosa,3,13,23,45
setosa,3,15,38,51
setosa,2,15,35,52
setosa,3,14,34,46
setosa,5,17,33,51
setosa,2,14,34,52
setosa,6,16,35,50
setosa,3,14,30,48
setosa,2,19,34,48
setosa,2,12,40,58
setosa,2,14,32,46
setosa,4,15,44,57
setosa,2,15,34,52
setosa,2,15,31,46
setosa,3,13,35,50
setosa,3,14,35,51
setosa,2,16,34,48
setosa,2,17,34,54
setosa,2,15,37,53
versicolor,13,45,28,57
versicolor,16,47,33,63
versicolor,14,47,32,70
versicolor,12,40,26,58
versicolor,10,33,23,50
versicolor,10,41,27,58
versicolor,15,45,29,60
versicolor,10,33,24,49
versicolor,14,39,27,52
versicolor,12,39,27,58
versicolor,15,42,30,59
versicolor,13,44,23,63
versicolor,15,49,25,63
versicolor,11,30,25,51
versicolor,13,36,29,56
versicolor,14,44,30,66
versicolor,17,50,30,67
versicolor,15,45,22,62
versicolor,14,46,30,61
versicolor,11,39,25,56
versicolor,15,45,32,64
versicolor,15,45,30,54
versicolor,14,44,31,67
versicolor,10,35,26,57
versicolor,13,42,26,57
versicolor,13,42,27,56
versicolor,16,45,34,60
versicolor,10,35,20,50
versicolor,13,54,29,62
versicolor,10,50,22,60
versicolor,12,47,28,61
versicolor,13,41,28,57
versicolor,15,49,31,69
versicolor,13,40,25,55
versicolor,14,48,28,68
versicolor,15,46,28,65
versicolor,18,48,32,59
versicolor,16,51,27,60
versicolor,13,40,28,61
versicolor,11,38,24,55
versicolor,12,44,26,55
versicolor,15,45,30,56
versicolor,12,42,30,57
versicolor,13,56,29,66
versicolor,10,37,24,55
versicolor,15,47,31,67
versicolor,13,41,30,56
versicolor,13,43,29,64
versicolor,14,47,29,61
versicolor,13,40,23,55
virginica,24,56,31,67
virginica,23,51,31,69
virginica,20,52,30,65
virginica,19,51,27,58
virginica,17,45,25,49
virginica,19,50,25,63
virginica,18,49,27,63
virginica,21,56,28,64
virginica,19,51,27,58
virginica,18,55,31,64
virginica,15,50,22,60
virginica,23,57,32,69
virginica,20,49,28,56
virginica,18,58,25,67
virginica,21,54,31,69
virginica,25,61,36,72
virginica,21,55,30,68
virginica,22,56,28,64
virginica,15,51,28,63
virginica,23,59,32,68
virginica,23,54,34,62
virginica,25,57,33,67
virginica,18,51,30,59
virginica,23,53,32,64
virginica,21,57,33,67
virginica,18,60,32,72
virginica,18,49,30,61
virginica,23,61,30,77
virginica,18,48,30,60
virginica,20,51,32,65
virginica,25,60,33,63
virginica,18,55,30,65
virginica,22,67,38,77
virginica,21,66,30,76
virginica,13,52,30,67
virginica,20,64,38,79
virginica,20,67,28,77
virginica,14,56,26,61
virginica,18,48,28,62
virginica,24,56,34,63
virginica,16,58,30,72
virginica,21,59,30,71
virginica,18,56,29,63
virginica,23,69,26,77
virginica,19,61,28,74
virginica,18,63,29,73
virginica,22,58,30,65
virginica,19,53,27,64
virginica,20,50,25,57
virginica,24,51,28,58
